Artista,Genero,URL
1990s (band),post-punk revival,https://en.m.wikipedia.org/wiki/1990s_(band)
1995 (band),hip-hop,https://en.m.wikipedia.org/wiki/1995_(band)
1Team,hip-hop,https://en.m.wikipedia.org/wiki/1Team
2 Brothers on the 4th Floor,Eurodance,https://en.m.wikipedia.org/wiki/2_Brothers_on_the_4th_Floor
2 Fabiola,Eurodance,https://en.m.wikipedia.org/wiki/2_Fabiola
2 In A Room,hip-hop,https://en.m.wikipedia.org/wiki/2_In_A_Room
2 Live Crew,hip-hop,https://en.m.wikipedia.org/wiki/2_Live_Crew
2 Minutos,punk rock,https://en.m.wikipedia.org/wiki/2_Minutos
"2 Puerto Ricans, a Blackman, and a Dominican",house music,"https://en.m.wikipedia.org/wiki/2_Puerto_Ricans,_a_Blackman,_and_a_Dominican"
2 Skinnee J's,hip-hop,https://en.m.wikipedia.org/wiki/2_Skinnee_J%27s
2 Unlimited,dance-pop,https://en.wikipedia.org/wiki/2_Unlimited
2 Unlimited,Eurodance,https://en.m.wikipedia.org/wiki/2_Unlimited
2 Unlimited,house music,https://en.m.wikipedia.org/wiki/2_Unlimited
20 (band),power pop,https://en.m.wikipedia.org/wiki/20/20_(band)
20 Dead Flower Children,nu metal,https://en.m.wikipedia.org/wiki/20_Dead_Flower_Children
20 Fingers,house music,https://en.m.wikipedia.org/wiki/20_Fingers
21 Guns (band),new wave of American heavy metal,https://en.m.wikipedia.org/wiki/21_Guns_(band)
21 Savage,gangsta rap,https://en.m.wikipedia.org/wiki/21_Savage
213 (group),gangsta rap,https://en.m.wikipedia.org/wiki/213_(group)
213 (group),hip-hop,https://en.m.wikipedia.org/wiki/213_(group)
22 Jacks,pop-punk,https://en.m.wikipedia.org/wiki/22_Jacks
22 Jacks,punk rock,https://en.m.wikipedia.org/wiki/22_Jacks
24hrs (rapper),R&B,https://en.m.wikipedia.org/wiki/24hrs_(rapper)
24K (band),hip-hop,https://en.m.wikipedia.org/wiki/24K_(band)
25 ta Life,hardcore punk,https://en.m.wikipedia.org/wiki/25_ta_Life
25 ta Life,new wave of American heavy metal,https://en.m.wikipedia.org/wiki/25_ta_Life
