URL,Texto,H1,H2,H3,H4,H5,H6,H7
https://en.wikipedia.org/wiki/Guaracha_(Colombia),Guaracha (EDM),Electronic,Ethnic electronica and regional EDM,,Guaracha (EDM),,,
https://en.wikipedia.org/wiki/Funk_carioca,Funk carioca,Electronic,Ethnic electronica and regional EDM,,Funk carioca,,,
https://en.wikipedia.org/wiki/Funk_melody,Funk melody,Electronic,Ethnic electronica and regional EDM,,Funk carioca,Funk melody,,
https://en.wikipedia.org/wiki/Funk_ostentação,Funk ostentação,Electronic,Ethnic electronica and regional EDM,,Funk carioca,Funk ostentação,,
https://en.wikipedia.org/wiki/Proibidão,Proibidão,Electronic,Ethnic electronica and regional EDM,,Funk carioca,Proibidão,,
https://en.wikipedia.org/wiki/Rasteirinha,Rasteirinha,Electronic,Ethnic electronica and regional EDM,,Funk carioca,Rasteirinha,,
https://en.wikipedia.org/wiki/Merenhouse,Merenhouse,Electronic,Ethnic electronica and regional EDM,,Merenhouse,,,
https://en.wikipedia.org/wiki/Nortec,Nortec,Electronic,Ethnic electronica and regional EDM,,Nortec,,,
https://en.wikipedia.org/wiki/Rabòday,Rabòday,Electronic,Ethnic electronica and regional EDM,,Rabòday,,,
https://en.wikipedia.org/wiki/Rara_tech,Rara tech,Electronic,Ethnic electronica and regional EDM,,Rara tech,,,
https://en.wikipedia.org/wiki/Russ_music,Russ music,Electronic,Ethnic electronica and regional EDM,,Russ music,,,
https://en.wikipedia.org/wiki/Shamstep,Shamstep,Electronic,Ethnic electronica and regional EDM,,Shamstep,,,
https://en.wikipedia.org/wiki/Tecnocumbia,Tecnocumbia,Electronic,Ethnic electronica and regional EDM,,Tecnocumbia,,,
https://en.wikipedia.org/wiki/Tribal_guarachero,Tribal guarachero,Electronic,Ethnic electronica and regional EDM,,Tribal guarachero,,,
https://en.wikipedia.org/wiki/Worldbeat,Worldbeat,Electronic,Ethnic electronica and regional EDM,,Worldbeat,,,
https://en.wikipedia.org/wiki/Manila_sound,Manila sound,Electronic,Ethnic electronica and regional EDM,,Worldbeat,Manila sound,,
https://en.wikipedia.org/wiki/Experimental_music,Experimental electronic,Electronic,Experimental electronic,,,,,
https://en.wikipedia.org/wiki/Black_MIDI,Black MIDI,Electronic,Experimental electronic,,Black MIDI,,,
https://en.wikipedia.org/wiki/Deconstructed_club,Deconstructed club,Electronic,Experimental electronic,,Deconstructed club,,,
https://en.wikipedia.org/wiki/Drone_music,Drone,Electronic,Experimental electronic,,Drone,,,
https://en.wikipedia.org/wiki/Electroacoustic_music,Electroacoustic music,Electronic,Experimental electronic,,Electroacoustic music,,,
https://en.wikipedia.org/wiki/Acousmatic_music,Acousmatic music,Electronic,Experimental electronic,,Electroacoustic music,Acousmatic music,,
https://en.wikipedia.org/wiki/Electroacoustic_improvisation,Electroacoustic improvisation,Electronic,Experimental electronic,,Electroacoustic music,Electroacoustic improvisation,,
https://en.wikipedia.org/wiki/Musique_concrète,Musique concrète,Electronic,Experimental electronic,,Electroacoustic music,Musique concrète,,
