URL,Texto,H1,H2,H3,H4,H5,H6,H7
https://en.wikipedia.org/wiki/Talking_blues,Talking blues,Blues,Talking blues,,,,,
https://en.wikipedia.org/wiki/Texas_blues,Texas blues,Blues,Texas blues,,,,,
https://en.wikipedia.org/wiki/West_Coast_blues,West Coast blues,Blues,West Coast blues,,,,,
https://en.wikipedia.org/wiki/Country_music,Main article: Country music,Country,Main article: Country music,,,,,
https://en.wikipedia.org/wiki/List_of_country_genres,See also: List of country genres,Country,See also: List of country genres,,,,,
https://en.wikipedia.org/wiki/Alternative_country,Alternative country,Country,Alternative country,,,,,
https://en.wikipedia.org/wiki/Americana_(music),Americana,Country,Alternative country,,Americana,,,
https://en.wikipedia.org/wiki/Cowpunk,Cowpunk/Country-punk,Country,Alternative country,,Cowpunk/Country-punk,,,
https://en.wikipedia.org/wiki/Gothic_country,Gothic country,Country,Alternative country,,Gothic country,,,
https://en.wikipedia.org/wiki/Roots_rock,Roots rock,Country,Alternative country,,Roots rock,,,
https://en.wikipedia.org/wiki/Australian_country_music,Australian country,Country,Australian country,,,,,
https://en.wikipedia.org/wiki/Bush_band,Bush band,Country,Australian country,,Bush band,,,
https://en.wikipedia.org/wiki/Bakersfield_sound,Bakersfield sound,Country,Bakersfield sound,,,,,
https://en.wikipedia.org/wiki/Bluegrass_music,Bluegrass,Country,Bluegrass,,,,,
https://en.wikipedia.org/wiki/Gospel_music,Bluegrass gospel,Country,Bluegrass,,Bluegrass gospel,,,
https://en.wikipedia.org/wiki/Blue_Yodeling,Blue Yodeling,Country,Blue Yodeling,,,,,
https://en.wikipedia.org/wiki/Bro-country,Bro-country,Country,Bro-country,,,,,
https://en.wikipedia.org/wiki/Cajun_music,Cajun,Country,Cajun,,,,,
https://en.wikipedia.org/wiki/Cajun_fiddle,Cajun fiddle,Country,Cajun,,Cajun fiddle,,,
https://en.wikipedia.org/wiki/Canadian_country_music,Canadian country,Country,Canadian country,,,,,
https://en.wikipedia.org/wiki/Canadian_country_music,Franco-country,Country,Canadian country,,Franco-country,,,
https://en.wikipedia.org/wiki/Christian_country_music,Christian country,Country,Christian country,,,,,
https://en.wikipedia.org/wiki/Classic_country,Classic country,Country,Classic country,,,,,
https://en.wikipedia.org/wiki/Country_and_Irish,Country and Irish,Country,Country and Irish,,,,,
https://en.wikipedia.org/wiki/Country_blues,Country blues,Country,Country blues,,,,,
https://en.wikipedia.org/wiki/Country_music,Country en Español/Latin Country,Country,Country en Español/Latin Country,,,,,
https://en.wikipedia.org/wiki/Country_folk,Country folk,Country,Country folk,,,,,
https://en.wikipedia.org/wiki/Country_rock,Country rock,Country,Country rock,,,,,
https://en.wikipedia.org/wiki/Cowboy_pop,Cowboy pop,Country,Cowboy pop,,,,,
https://en.wikipedia.org/wiki/Dansband,Dansband,Country,Dansband,,,,,
https://en.wikipedia.org/wiki/Gulf_and_Western_(music_genre),Gulf and Western,Country,Gulf and Western,,,,,
https://en.wikipedia.org/wiki/Hokum,Hokum,Country,Hokum,,,,,
https://en.wikipedia.org/wiki/Honky-tonk,Honky tonk,Country,Honky tonk,,,,,
https://en.wikipedia.org/wiki/Country_music,Instrumental country,Country,Instrumental country,,,,,
"https://en.wikipedia.org/wiki/Lubbock,_Texas",Lubbock sound,Country,Lubbock sound,,,,,
https://en.wikipedia.org/wiki/Nashville_sound,Nashville sound,Country,Nashville sound,,,,,
https://en.wikipedia.org/wiki/Nashville_sound,Countrypolitan,Country,Nashville sound,,Countrypolitan,,,
https://en.wikipedia.org/wiki/Neotraditional_country,Neotraditional country,Country,Neotraditional country,,,,,
https://en.wikipedia.org/wiki/Country_music,New country,Country,Neotraditional country,,New country,,,
https://en.wikipedia.org/wiki/Old-time_music,Old-time,Country,Old-time,,,,,
https://en.wikipedia.org/wiki/Outlaw_country,Outlaw country,Country,Outlaw country,,,,,
https://en.wikipedia.org/wiki/Pop_country,Pop country,Country,Pop country,,,,,
https://en.wikipedia.org/wiki/Progressive_country,Progressive country,Country,Progressive country,,,,,
https://en.wikipedia.org/wiki/Regional_Mexican,Regional Mexican,Country,Regional Mexican,,,,,
https://en.wikipedia.org/wiki/Rockabilly,Rockabilly/Neo-Rockabilly,Country,Rockabilly/Neo-Rockabilly,,,,,
https://en.wikipedia.org/wiki/Psychobilly,Psychobilly/Punkabilly,Country,Rockabilly/Neo-Rockabilly,,Psychobilly/Punkabilly,,,
https://en.wikipedia.org/wiki/Gothabilly,Gothabilly/Hellbilly,Country,Rockabilly/Neo-Rockabilly,,Psychobilly/Punkabilly,Gothabilly/Hellbilly,,
https://en.wikipedia.org/wiki/Southern_rock,Southern rock,Country,Southern rock,,,,,
https://en.wikipedia.org/wiki/Southern_soul,Southern soul,Country,Southern soul,,,,,
https://en.wikipedia.org/wiki/Sertanejo_music,Sertanejo,Country,Sertanejo,,,,,
https://en.wikipedia.org/wiki/Talking_blues,Talking blues,Country,Talking blues,,,,,
https://en.wikipedia.org/wiki/Traditional_country_music,Traditional country,Country,Traditional country,,,,,
https://en.wikipedia.org/wiki/Truck-driving_country,Truck-driving country,Country,Truck-driving country,,,,,
https://en.wikipedia.org/wiki/Western_music_(North_America),Western/cowboy music,Country,Western/cowboy music,,,,,
https://en.wikipedia.org/wiki/New_Mexico_music,New Mexico music,Country,Western/cowboy music,,New Mexico music,,,
https://en.wikipedia.org/wiki/Red_dirt_(music),Red dirt,Country,Western/cowboy music,,Red dirt,,,
https://en.wikipedia.org/wiki/Tejano_music,Tejano/Tex-Mex,Country,Western/cowboy music,,Tejano/Tex-Mex,,,
https://en.wikipedia.org/wiki/Texas_country,Texas country,Country,Western/cowboy music,,Texas country,,,
https://en.wikipedia.org/wiki/Western_swing,Western swing,Country,Western/cowboy music,,Western swing,,,
https://en.wikipedia.org/w/index.php?title=YEEDM&action=edit&redlink=1,YEEDM,Country,YEEDM,,,,,
https://en.wikipedia.org/wiki/Zydeco,Zydeco,Country,Zydeco,,,,,
https://en.wikipedia.org/wiki/Easy_listening,Main article: Easy listening,Easy listening,Main article: Easy listening,,,,,
https://en.wikipedia.org/wiki/Adult_contemporary_music,Adult contemporary music,Easy listening,Adult contemporary music,,,,,
https://en.wikipedia.org/wiki/Adult_standards,Adult standards,Easy listening,Adult standards,,,,,
https://en.wikipedia.org/wiki/Background_music,Background music,Easy listening,Background music,,,,,
https://en.wikipedia.org/wiki/Barococo,Barococo,Easy listening,Barococo,,,,,
https://en.wikipedia.org/wiki/Beautiful_music,Beautiful music,Easy listening,Beautiful music,,,,,
https://en.wikipedia.org/wiki/Chill-out_music,Chill-out,Easy listening,Chill-out,,,,,
https://en.wikipedia.org/wiki/Downtempo,Downtempo,Easy listening,Downtempo,,,,,
https://en.wikipedia.org/wiki/Furniture_music,Furniture music,Easy listening,Furniture music,,,,,
https://en.wikipedia.org/wiki/Light_music,Light music,Easy listening,Light music,,,,,
